circuit_name,model,mode,credits,time_seconds,pass,fidelity,error
I06_qkd_network_6,claude-haiku-4.5,bv,0.03,4,False,0.5,fidelity=0.5000
I07_quantum_timestamp_4,claude-haiku-4.5,bv,0.03,4,True,1.0,
I08_kyber_lattice_6,claude-haiku-4.5,bv,0.04,5,False,0.0703,fidelity=0.0703
I09_dilithium_sign_5,claude-haiku-4.5,bv,0.03,4,False,0.0,exec: Operator qubit count 2 must be equal to size of target qubit set QubitSet([Qubit(4)])
I10_pow_quantum_speedup_4,claude-haiku-4.5,bv,0.03,4,False,0.0442,fidelity=0.0442
I11_quantum_merkle_5,claude-haiku-4.5,bv,0.03,3,False,0.0,exec: Operator qubit count 2 must be equal to size of target qubit set QubitSet([Qubit(4)])
I12_sphincs_hash_7,claude-haiku-4.5,bv,0.04,4,False,0.1749,fidelity=0.1749
adv_01_qft3,claude-haiku-4.5,bv,0.03,4,True,1.0,
adv_02_grover3,claude-haiku-4.5,bv,0.04,5,False,0.375,fidelity=0.3750
adv_03_vqe_ansatz,claude-haiku-4.5,bv,0.03,4,True,1.0,
adv_04_qaoa,claude-haiku-4.5,bv,0.04,5,False,0.0765,fidelity=0.0765
adv_05_qwalk,claude-haiku-4.5,bv,0.03,3,False,0.75,fidelity=0.7500
adv_06_bv,claude-haiku-4.5,bv,0.03,3,False,0.0,exec: 'Circuit' object has no attribute 'measure_all'
blockchain_bb84,claude-haiku-4.5,bv,0.02,3,True,1.0,
blockchain_bv_crypto,claude-haiku-4.5,bv,0.03,3,True,1.0,
blockchain_coin_flip,claude-haiku-4.5,bv,0.03,4,False,0.5,fidelity=0.5000
blockchain_consensus,claude-haiku-4.5,bv,0.04,4,False,0.0034,fidelity=0.0034
blockchain_grover_mining,claude-haiku-4.5,bv,0.03,3,False,0.5,fidelity=0.5000
blockchain_lattice_pqc,claude-haiku-4.5,bv,0.03,4,True,1.0,
blockchain_oblivious_transfer,claude-haiku-4.5,bv,0.03,4,False,0.0,fidelity=0.0000
blockchain_qds,claude-haiku-4.5,bv,0.03,4,False,0.0625,fidelity=0.0625
blockchain_qrng,claude-haiku-4.5,bv,0.02,4,True,1.0,
blockchain_qss,claude-haiku-4.5,bv,0.03,4,True,1.0,
blockchain_vrf,claude-haiku-4.5,bv,0.04,4,False,0.0321,fidelity=0.0321
demo_01_hadamard,claude-haiku-4.5,bv,0.02,3,True,1.0,
demo_02_cnot,claude-haiku-4.5,bv,0.02,3,True,1.0,
demo_03_bell,claude-haiku-4.5,bv,0.02,3,True,1.0,
demo_04_ghz,claude-haiku-4.5,bv,0.02,3,True,1.0,
demo_05_toffoli,claude-haiku-4.5,bv,0.02,4,False,0.0,exec: 'Circuit' object has no attribute 'toffoli'
inter_01_swap_decomp,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: 'Circuit' object has no attribute 'cx'
inter_02_qft2,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: 'Circuit' object has no attribute 'result_type'
inter_03_teleport_prep,claude-haiku-4.5,bv,0.02,3,False,0.0,fidelity=0.0000
inter_04_deutsch,claude-haiku-4.5,bv,0.02,3,True,1.0,
inter_05_superdense,claude-haiku-4.5,bv,0.02,3,True,1.0,
inter_06_grover2,claude-haiku-4.5,bv,0.03,4,False,0.5,fidelity=0.5000
inter_07_param_rot,claude-haiku-4.5,bv,0.02,3,False,0.25,fidelity=0.2500
inter_08_fredkin,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: 'Circuit' object has no attribute 'fredkin'
inter_09_shift_reg,claude-haiku-4.5,bv,0.03,3,True,1.0,
inter_10_phase_est,claude-haiku-4.5,bv,0.03,3,False,0.2999,fidelity=0.2999
A01_single_y,claude-haiku-4.5,tv,0.04,4,True,1.0,
A02_single_s,claude-haiku-4.5,tv,0.03,4,True,1.0,
A03_single_t,claude-haiku-4.5,tv,0.03,4,False,0.0,exec: 'Circuit' object has no attribute 'print_ascii'
A04_single_rx,claude-haiku-4.5,tv,0.04,4,True,1.0,
A05_single_ry,claude-haiku-4.5,tv,0.04,4,True,1.0,
A06_single_rz,claude-haiku-4.5,tv,0.04,4,True,1.0,
A07_sqrt_x,claude-haiku-4.5,tv,0.03,4,False,0.0,exec: 'Circuit' object has no attribute 'sqrt_x'
A08_controlled_z,claude-haiku-4.5,tv,0.04,5,True,1.0,
A09_controlled_ry,claude-haiku-4.5,tv,0.04,4,False,0.0,exec: 'Circuit' object has no attribute 'cry'
A10_controlled_rx,claude-haiku-4.5,tv,0.05,6,False,0.0,exec: 'Circuit' object has no attribute 'crx'
A11_ccz,claude-haiku-4.5,tv,0.04,4,False,0.0,exec: 'Circuit' object has no attribute 'ccz'
A12_iswap,claude-haiku-4.5,tv,0.04,4,False,0.0,exec: name 'iswap' is not defined
A13_double_controlled_rz,claude-haiku-4.5,tv,0.05,6,True,1.0,
A14_multi_rotation,claude-haiku-4.5,tv,0.04,5,True,1.0,
A15_global_phase,claude-haiku-4.5,tv,0.04,5,False,0.0,exec: 'Circuit' object has no attribute 't_dagger'
B01_ghz_4,claude-haiku-4.5,tv,0.04,5,True,1.0,
B02_ghz_5,claude-haiku-4.5,tv,0.05,5,True,1.0,
B03_ghz_6,claude-haiku-4.5,tv,0.05,6,True,1.0,
B04_ghz_8,claude-haiku-4.5,tv,0.05,5,True,1.0,
B05_ghz_10,claude-haiku-4.5,tv,0.05,6,False,0.0039,fidelity=0.0039
B06_qft_4,claude-haiku-4.5,tv,0.07,7,False,0.0,exec: 'Circuit' object has no attribute 'measure_all'
B07_qft_5,claude-haiku-4.5,tv,0.07,7,False,0.0,exec: name 'cphaseshift' is not defined
B08_linear_entangle_6,claude-haiku-4.5,tv,0.05,6,True,1.0,
B09_ring_entangle_6,claude-haiku-4.5,tv,0.05,6,True,1.0,
B10_ladder_4,claude-haiku-4.5,tv,0.04,7,False,0.25,fidelity=0.2500
B11_full_entangle_4,claude-haiku-4.5,tv,0.05,5,True,1.0,
B12_star_entangle_5,claude-haiku-4.5,tv,0.04,5,True,1.0,
C01_deutsch_jozsa_3,claude-haiku-4.5,tv,0.05,6,True,1.0,
C02_deutsch_jozsa_4,claude-haiku-4.5,tv,0.05,5,True,1.0,
C03_simon_4,claude-haiku-4.5,tv,0.05,6,False,0.5,fidelity=0.5000
C04_grover_4,claude-haiku-4.5,tv,0.06,10,False,0.0,fidelity=0.0000
C05_shor_period_4,claude-haiku-4.5,tv,0.05,6,False,0.0,exec: 'Circuit' object has no attribute 'phase'
C06_qpe_3,claude-haiku-4.5,tv,0.05,6,False,0.0,exec: 'Circuit' object has no attribute 'measure_all'
C07_qpe_4,claude-haiku-4.5,tv,0.06,6,False,0.0,verify: cannot add a result type to a circuit which already contains a measure instruction.
C08_hhl_3,claude-haiku-4.5,tv,0.05,6,False,0.0,exec: 'Circuit' object has no attribute 'cry'
C09_swap_test,claude-haiku-4.5,tv,0.04,5,True,1.0,
C10_w_state_3,claude-haiku-4.5,tv,0.04,6,False,0.0,fidelity=0.0000
C11_w_state_4,claude-haiku-4.5,tv,0.05,6,False,0.0,fidelity=0.0000
C12_amplitude_encode_2,claude-haiku-4.5,tv,0.04,4,True,1.0,
C13_amplitude_encode_3,claude-haiku-4.5,tv,0.04,4,True,1.0,
C14_quantum_adder_4,claude-haiku-4.5,tv,0.05,6,False,0.0,exec: name 'cnot' is not defined
C15_quantum_fourier_add_4,claude-haiku-4.5,tv,0.06,6,False,0.0,exec: name 'cphaseshift' is not defined
D01_hardware_eff_2,claude-haiku-4.5,tv,0.05,7,True,1.0,
D02_hardware_eff_4,claude-haiku-4.5,tv,0.07,7,True,1.0,
D03_uccsd_2,claude-haiku-4.5,tv,0.04,5,False,0.9045,fidelity=0.9045
D04_qaoa_2layer,claude-haiku-4.5,tv,0.08,9,False,0.1358,fidelity=0.1358
D05_vqe_ry_linear_4,claude-haiku-4.5,tv,0.04,5,True,1.0,
D06_vqe_ry_circular_4,claude-haiku-4.5,tv,0.05,6,False,0.25,fidelity=0.2500
D07_param_shift_2,claude-haiku-4.5,tv,0.04,5,True,1.0,
D08_data_reuploading_2,claude-haiku-4.5,tv,0.05,6,True,1.0,
D09_alternating_layer_4,claude-haiku-4.5,tv,0.07,8,False,0.125,fidelity=0.1250
D10_strongly_entangling_3,claude-haiku-4.5,tv,0.07,8,False,0.25,fidelity=0.2500
E01_bit_flip_3,claude-haiku-4.5,tv,0.04,4,False,0.0,exec: CNot.cnot() got an unexpected keyword argument 'control_qubit'
E02_phase_flip_3,claude-haiku-4.5,tv,0.04,5,False,0.0,exec: CNot.cnot() got an unexpected keyword argument 'control_qubit'
E03_shor_9,claude-haiku-4.5,tv,0.06,8,False,0.5,fidelity=0.5000
E04_steane_7_encode,claude-haiku-4.5,tv,0.05,5,False,0.125,fidelity=0.1250
E05_surface_code_patch,claude-haiku-4.5,tv,0.06,7,False,0.0028,fidelity=0.0028
E06_repetition_5,claude-haiku-4.5,tv,0.05,5,True,1.0,
E07_cat_state_5,claude-haiku-4.5,tv,0.05,6,True,1.0,
E08_logical_cnot_6,claude-haiku-4.5,tv,0.06,7,False,0.0625,fidelity=0.0625
F01_angle_encoding_4,claude-haiku-4.5,tv,0.04,5,True,1.0,
F02_amplitude_encoding_2,claude-haiku-4.5,tv,0.04,5,True,1.0,
F03_iqp_encoding_4,claude-haiku-4.5,tv,0.06,7,True,1.0,
F04_qnn_layer_4,claude-haiku-4.5,tv,0.07,8,True,0.9969,
F05_qcnn_8,claude-haiku-4.5,tv,0.07,8,True,1.0,
F06_quantum_kernel_2,claude-haiku-4.5,tv,0.05,6,True,1.0,
F07_classifier_2,claude-haiku-4.5,tv,0.04,6,True,1.0,
F08_qgan_generator_3,claude-haiku-4.5,tv,0.05,6,True,1.0,
F09_barren_plateau_4,claude-haiku-4.5,tv,0.07,11,False,0.0083,fidelity=0.0083
F10_expressibility_test_3,claude-haiku-4.5,tv,0.06,8,False,0.0,exec: Operator qubit count 2 must be equal to size of target qubit set QubitSet([Qubit(1)])
G01_qkd_e91,claude-haiku-4.5,tv,0.05,6,False,0.9239,fidelity=0.9239
G02_quantum_money_3,claude-haiku-4.5,tv,0.04,5,True,1.0,
G03_blind_quantum_4,claude-haiku-4.5,tv,0.05,6,True,1.0,
G04_quantum_voting_5,claude-haiku-4.5,tv,0.05,6,True,1.0,
G05_quantum_auction_4,claude-haiku-4.5,tv,0.05,5,False,0.25,fidelity=0.2500
G06_post_quantum_hash_6,claude-haiku-4.5,tv,0.07,8,False,0.25,fidelity=0.2500
G07_quantum_commitment_3,claude-haiku-4.5,tv,0.04,5,True,1.0,
G08_entanglement_witness_4,claude-haiku-4.5,tv,0.05,5,True,1.0,
H01_bell_barrier,claude-haiku-4.5,tv,0.04,5,True,1.0,
H02_bell_compressed,claude-haiku-4.5,tv,0.04,5,False,0.3536,fidelity=0.3536
H03_bell_wide,claude-haiku-4.5,tv,0.04,6,True,1.0,
H04_ghz_reversed_labels,claude-haiku-4.5,tv,0.04,5,False,0.5,fidelity=0.5000
H05_toffoli_decomposed,claude-haiku-4.5,tv,0.06,7,False,0.3953,fidelity=0.3953
H06_qft3_no_swap,claude-haiku-4.5,tv,0.05,5,False,0.0,exec: name 'cphaseshift' is not defined
H07_grover2_combined_oracle,claude-haiku-4.5,tv,0.05,6,False,0.5,fidelity=0.5000
H08_cnot_reversed,claude-haiku-4.5,tv,0.04,4,False,0.0,exec: CNot.cnot() got an unexpected keyword argument 'control_qubit'
H09_param_symbolic,claude-haiku-4.5,tv,0.04,5,True,1.0,
H10_multi_gate_per_step,claude-haiku-4.5,tv,0.05,7,False,0.0,fidelity=0.0000
I01_shor_ecc_6,claude-haiku-4.5,tv,0.06,7,False,0.0,verify: cannot add a result type to a circuit which already contains a measure instruction.
I02_grover_sha256_4,claude-haiku-4.5,tv,0.06,7,False,0.0625,fidelity=0.0625
I03_grover_aes_5,claude-haiku-4.5,tv,0.06,9,False,0.0625,fidelity=0.0625
I04_lamport_sign_4,claude-haiku-4.5,tv,0.05,6,True,1.0,
I05_quantum_random_beacon_6,claude-haiku-4.5,tv,0.06,6,False,0.25,fidelity=0.2500
I06_qkd_network_6,claude-haiku-4.5,tv,0.06,7,False,0.0625,fidelity=0.0625
I07_quantum_timestamp_4,claude-haiku-4.5,tv,0.05,5,True,1.0,
I08_kyber_lattice_6,claude-haiku-4.5,tv,0.06,6,False,0.25,fidelity=0.2500
I09_dilithium_sign_5,claude-haiku-4.5,tv,0.05,6,False,0.4542,fidelity=0.4542
I10_pow_quantum_speedup_4,claude-haiku-4.5,tv,0.07,8,False,0.0442,fidelity=0.0442
I11_quantum_merkle_5,claude-haiku-4.5,tv,0.06,6,False,0.25,fidelity=0.2500
I12_sphincs_hash_7,claude-haiku-4.5,tv,0.06,7,False,0.25,fidelity=0.2500
adv_01_qft3,claude-haiku-4.5,tv,0.05,7,True,1.0,
adv_02_grover3,claude-haiku-4.5,tv,0.06,7,False,0.0625,fidelity=0.0625
adv_03_vqe_ansatz,claude-haiku-4.5,tv,0.05,6,True,1.0,
adv_04_qaoa,claude-haiku-4.5,tv,0.08,9,False,0.0625,fidelity=0.0625
adv_05_qwalk,claude-haiku-4.5,tv,0.04,5,False,0.75,fidelity=0.7500
adv_06_bv,claude-haiku-4.5,tv,0.06,7,True,1.0,
blockchain_bb84,claude-haiku-4.5,tv,0.04,5,True,1.0,
blockchain_bv_crypto,claude-haiku-4.5,tv,0.04,5,True,1.0,
blockchain_coin_flip,claude-haiku-4.5,tv,0.05,5,False,0.5,fidelity=0.5000
blockchain_consensus,claude-haiku-4.5,tv,0.07,8,False,0.0156,fidelity=0.0156
blockchain_grover_mining,claude-haiku-4.5,tv,0.05,6,False,0.5,fidelity=0.5000
blockchain_lattice_pqc,claude-haiku-4.5,tv,0.06,7,True,1.0,
blockchain_oblivious_transfer,claude-haiku-4.5,tv,0.06,7,False,0.0,fidelity=0.0000
blockchain_qds,claude-haiku-4.5,tv,0.06,7,False,0.0,fidelity=0.0000
blockchain_qrng,claude-haiku-4.5,tv,0.04,5,True,1.0,
blockchain_qss,claude-haiku-4.5,tv,0.05,6,True,1.0,
blockchain_vrf,claude-haiku-4.5,tv,0.06,7,False,0.0339,fidelity=0.0339
demo_01_hadamard,claude-haiku-4.5,tv,0.03,4,True,1.0,
demo_02_cnot,claude-haiku-4.5,tv,0.04,4,False,0.0,exec: CNot.cnot() got an unexpected keyword argument 'control_qubit'
demo_03_bell,claude-haiku-4.5,tv,0.04,5,False,0.0,exec: name 'h' is not defined
demo_04_ghz,claude-haiku-4.5,tv,0.04,6,True,1.0,
demo_05_toffoli,claude-haiku-4.5,tv,0.04,5,False,0.0,exec: CCNot.ccnot() got an unexpected keyword argument 'control_qubits'. Did you mean 'control_state'?
inter_01_swap_decomp,claude-haiku-4.5,tv,0.04,5,True,1.0,
inter_02_qft2,claude-haiku-4.5,tv,0.04,6,False,0.0,exec: 'Circuit' object has no attribute 'measure_all'
inter_03_teleport_prep,claude-haiku-4.5,tv,0.04,5,True,1.0,
inter_04_deutsch,claude-haiku-4.5,tv,0.04,6,True,1.0,
inter_05_superdense,claude-haiku-4.5,tv,0.04,5,True,1.0,
inter_06_grover2,claude-haiku-4.5,tv,0.05,6,False,0.5,fidelity=0.5000
inter_07_param_rot,claude-haiku-4.5,tv,0.04,6,True,1.0,
inter_08_fredkin,claude-haiku-4.5,tv,0.04,6,False,0.0,exec: name 'cswap' is not defined
inter_09_shift_reg,claude-haiku-4.5,tv,0.04,5,True,1.0,
inter_10_phase_est,claude-haiku-4.5,tv,0.05,6,False,0.0,exec: name 'cphaseshift' is not defined
A01_single_y,claude-opus-4.6,bv,0.27,11,True,1.0,
A02_single_s,claude-opus-4.6,bv,0.58,59,True,1.0,
A03_single_t,claude-opus-4.6,bv,0.41,19,True,1.0,
A04_single_rx,claude-opus-4.6,bv,0.41,20,True,1.0,
A05_single_ry,claude-opus-4.6,bv,0.41,20,True,1.0,
A06_single_rz,claude-opus-4.6,bv,0.41,19,True,1.0,
A07_sqrt_x,claude-opus-4.6,bv,0.4,19,True,1.0,
A08_controlled_z,claude-opus-4.6,bv,0.43,23,True,1.0,
A09_controlled_ry,claude-opus-4.6,bv,0.41,20,True,1.0,
A10_controlled_rx,claude-opus-4.6,bv,0.42,20,False,0.933,fidelity=0.9330
A11_ccz,claude-opus-4.6,bv,0.61,40,False,0.75,fidelity=0.7500
A12_iswap,claude-opus-4.6,bv,0.41,20,True,1.0,
A13_double_controlled_rz,claude-opus-4.6,bv,0.54,22,True,1.0,
A14_multi_rotation,claude-opus-4.6,bv,0.44,19,True,1.0,
A15_global_phase,claude-opus-4.6,bv,0.26,12,True,1.0,
B01_ghz_4,claude-opus-4.6,bv,0.46,21,True,1.0,
B02_ghz_5,claude-opus-4.6,bv,0.47,20,True,1.0,
B03_ghz_6,claude-opus-4.6,bv,0.3,18,True,1.0,
B04_ghz_8,claude-opus-4.6,bv,0.51,20,True,1.0,
B05_ghz_10,claude-opus-4.6,bv,0.52,20,False,0.0,"syntax: expected an indented block after 'for' statement on line 5 (<check>, line 6)"
B06_qft_4,claude-opus-4.6,bv,0.6,27,True,1.0,
B07_qft_5,claude-opus-4.6,bv,0.76,32,True,1.0,
B08_linear_entangle_6,claude-opus-4.6,bv,0.48,23,True,1.0,
B09_ring_entangle_6,claude-opus-4.6,bv,0.5,22,True,1.0,
B10_ladder_4,claude-opus-4.6,bv,0.48,20,True,1.0,
B11_full_entangle_4,claude-opus-4.6,bv,0.5,24,True,1.0,
B12_star_entangle_5,claude-opus-4.6,bv,0.28,11,True,1.0,
C01_deutsch_jozsa_3,claude-opus-4.6,bv,0.49,23,True,1.0,
C02_deutsch_jozsa_4,claude-opus-4.6,bv,0.53,25,True,1.0,
C03_simon_4,claude-opus-4.6,bv,0.53,25,True,1.0,
C04_grover_4,claude-opus-4.6,bv,0.8,36,True,1.0,
C05_shor_period_4,claude-opus-4.6,bv,0.63,31,False,0.375,fidelity=0.3750
C06_qpe_3,claude-opus-4.6,bv,0.57,28,True,1.0,
C07_qpe_4,claude-opus-4.6,bv,0.66,31,True,1.0,
C08_hhl_3,claude-opus-4.6,bv,0.89,48,False,0.0,exec: 'Circuit' object has no attribute 'cry'
C09_swap_test,claude-opus-4.6,bv,0.45,21,True,1.0,
C10_w_state_3,claude-opus-4.6,bv,0.83,45,False,0.0,exec: 'Circuit' object has no attribute 'ch'
C11_w_state_4,claude-opus-4.6,bv,0.6,31,False,0.1768,fidelity=0.1768
C12_amplitude_encode_2,claude-opus-4.6,bv,0.26,15,True,1.0,
C13_amplitude_encode_3,claude-opus-4.6,bv,0.25,9,True,1.0,
C14_quantum_adder_4,claude-opus-4.6,bv,0.49,22,True,1.0,
C15_quantum_fourier_add_4,claude-opus-4.6,bv,0.75,34,False,0.7906,fidelity=0.7906
D01_hardware_eff_2,claude-opus-4.6,bv,0.51,26,True,1.0,
D02_hardware_eff_4,claude-opus-4.6,bv,0.64,27,True,1.0,
D03_uccsd_2,claude-opus-4.6,bv,0.47,22,True,1.0,
D04_qaoa_2layer,claude-opus-4.6,bv,3.95,,False,0.0199,fidelity=0.0199
D05_vqe_ry_linear_4,claude-opus-4.6,bv,0.48,24,True,1.0,
D06_vqe_ry_circular_4,claude-opus-4.6,bv,1.19,40,True,1.0,
D07_param_shift_2,claude-opus-4.6,bv,0.43,20,True,1.0,
D08_data_reuploading_2,claude-opus-4.6,bv,0.48,21,True,1.0,
